__car___id,defect_count
W25-12345-A01,2
W25-12345-A02,1
W25-12345-A03,3
W25-12345-A04,0
W25-12345-A05,2
W25-12345-A06,4
W25-12345-A07,1
W25-12345-A08,3
W25-12345-A09,2
W25-12345-A10,5
W25-12345-A11,1
W25-12345-A12,4
W25-12345-A13,2
W25-12345-A14,6
W25-12345-A15,3
W25-12345-A16,2
W25-12345-A17,1
W25-12345-A18,4
W25-12345-A19,3
W25-12345-A20,8
W25-12345-A21,2
W25-12345-A22,7
W25-12345-A23,14
W25-12345-A24,22
W25-12345-A25,18
W25-12345-B01,3
W25-12345-B02,1
W25-12345-B03,2
W25-12345-B04,5
W25-12345-B05,4
W25-12345-B06,3
W25-12345-B07,19
W25-12345-B08,2
W25-12345-B09,4
W25-12345-B10,1
W25-12345-B11,3
W25-12345-B12,2
W25-12345-B13,5
W25-12345-B14,4
W25-12345-B15,3
W25-12345-B16,1
W25-12345-B17,6
W25-12345-B18,2
W25-12345-B19,4
W25-12345-B20,3
W25-12345-B21,9
W25-12345-B22,5
W25-12345-B23,11
W25-12345-B24,27
W25-12345-B25,31
